hanja,h,k
脣,辰,별 진
術,行,다닐 행
術,朮,차조 출
述,辶,쉬엄쉬엄 갈 착
述,朮,차조 출
戌,戊,천간 무
戌,一,한 일
崇,山,메 산
崇,宗,마루 종
習,羽,깃 우
習,白,흰 백
濕,氵,삼수변 수
濕,㬎,드러날 현
拾,扌,재방변 수
拾,合,합할 합
襲,衣,옷 의
襲,龍,용 룡(용)
勝,月,달 월
勝,劵,게으를 권
承,氶,이을 승
承,三,석 삼
乘,禾,벼 화
乘,北,북녘 북
昇,日,날 일
昇,升,되 승
僧,亻,사람인변 인
僧,曾,일찍 증
時,日,날 일
時,寺,절 사
市,巾,수건 건
市,亠,돼지해머리 두
始,女,여자 녀(여)
始,台,별 태
示,二,두 이
示,小,작을 소
詩,言,말씀 언
詩,寺,절 사
試,言,말씀 언
試,式,법 식
視,礻,보일시변 시
視,見,볼 견
施,方,모 방
施,㐌,종족 이름 이
是,日,날 일
是,疋,짝 필
侍,亻,사람인변 인
侍,寺,절 사
矢,𠂉,-
矢,大,클 대
食,𠆢,사람 인
食,良,어질 량(양)
植,木,나무 목
植,直,곧을 직
式,弋,주살 익
式,工,장인 공
識,言,말씀 언
識,戠,찰흙 치
息,心,마음 심
息,自,스스로 자
飾,𩙿,밥식 식
飾,布,베 포
身,𨈐,그 궐
身,二,두 이
神,礻,보일시변 시
神,申,거듭 신
信,亻,사람인변 인
信,言,말씀 언
新,亲,친할 친
新,斤,근 근
臣,匚,상자 방
臣,丨,뚫을 곤
臣,𠃍,-
臣,一,한 일
臣,丨,뚫을 곤
申,日,날 일
申,丨,뚫을 곤
愼,忄,심방변 심
愼,眞,참 진
辛,立,설 립(입)
辛,十,열 십
伸,亻,사람인변 인
伸,申,거듭 신
晨,日,날 일
晨,辰,별 진
室,宀,집 면
室,至,이를 지
失,大,클 대
失,𠂉,-
實,宀,집 면
實,貫,꿸 관
心,𢖩,성씨 점
心,丶,점 주
深,氵,삼수변 수
深,罙,무릅쓸 미
甚,甘,달 감
甚,匹,짝 필
審,宀,집 면
審,番,차례 번
尋,寻,찾을 심
尋,工,장인 공
尋,口,입 구
十,十,열 십
雙,雔,새 한 쌍 수
雙,又,또 우
氏,氏,각시 씨
兒,儿,어진 사람 인
兒,臼,절구 구
雅,隹,새 추
雅,牙,어금니 아
我,戈,창 과
我,扌,재방변 수
阿,阝,좌부변 부
阿,可,옳을 가
亞,亞,버금 아
芽,艹,초두머리 초
芽,牙,어금니 아
牙,牙,어금니 아
餓,𩙿,밥식 식
餓,我,나 아
惡,心,마음 심
惡,亞,버금 아
岳,山,메 산
岳,丘,언덕 구
安,宀,집 면
安,女,여자 녀(여)
案,木,나무 목
案,安,편안 안
眼,目,눈 목
眼,艮,괘 이름 간
顔,頁,머리 혈
顔,彦,선비 언
岸,山,메 산
岸,厈,굴바위 엄
雁,厂,기슭 엄
雁,倠,추할 휴
謁,言,말씀 언
謁,曷,어찌 갈
暗,日,날 일
暗,音,소리 음
巖,山,메 산
巖,嚴,엄할 엄
壓,土,흙 토
壓,厭,싫어할 염
押,扌,재방변 수
押,甲,갑옷 갑
仰,亻,사람인변 인
仰,卬,나 앙
央,大,클 대
央,冂,멀 경
殃,歹,살 바른 뼈 알
殃,央,가운데 앙
愛,爫,손톱조 조
愛,冖,덮을 멱
愛,𢖻,사랑 애
哀,口,입 구
哀,衣,옷 의
涯,氵,삼수변 수
涯,厓,언덕 애
液,氵,삼수변 수
液,夜,밤 야
額,頁,머리 혈
額,客,손 객
厄,厂,기슭 엄
厄,㔾,병부 절
夜,亠,돼지해머리 두
夜,㐴,더위잡을 반
夜,丶,점 주
野,里,마을 리(이)
野,予,나 여
也,乜,사팔뜨기 먀
也,丨,뚫을 곤
耶,耳,귀 이
耶,⻏,우부방 읍
弱,弓,활 궁
弱,冫,얼음 빙
弱,弓,활 궁
弱,冫,얼음 빙
藥,艹,초두머리 초
藥,樂,노래 악
約,糹,가는 실 멱
約,勺,구기 작
若,艹,초두머리 초
若,右,오른쪽 우
躍,𧾷,발족 족
躍,翟,꿩 적
陽,阝,좌부변 부
陽,昜,볕 양
洋,氵,삼수변 수
洋,羊,양 양
養,𦍌,양 양
養,八,여덟 팔
養,良,어질 량(양)
羊,䒑,초두머리 초
羊,𠀆,-
樣,木,나무 목
樣,羕,강 길 양
讓,言,말씀 언
讓,襄,도울 양
壤,土,흙 토
壤,襄,도울 양
揚,扌,재방변 수
揚,昜,볕 양
楊,木,나무 목
楊,昜,볕 양
語,言,말씀 언
語,吾,나 오
漁,氵,삼수변 수
漁,魚,물고기 어
魚,⺈,칼도 도
魚,田,밭 전
魚,灬,연화발 화
御,彳,조금 걸을 척
御,卸,풀 사
於,方,모 방
於,仒,구결자 어
億,亻,사람인변 인
億,意,뜻 의
憶,忄,심방변 심
憶,意,뜻 의
抑,扌,재방변 수
抑,卬,나 앙
言,亖,넉 사
言,口,입 구
焉,正,바를 정
焉,𠀁,일곱 칠
焉,灬,연화발 화
嚴,吅,부르짖을 훤
嚴,𠪚,험준할 음
業,业,업 업
業,𦍎,오랑캐 강
餘,𩙿,밥식 식
餘,余,나 여
如,女,여자 녀(여)
如,口,입 구
與,𦥑,깍지 낄 국
與,与,더불 여
與,一,한 일
與,八,여덟 팔
輿,車,수레 차
輿,𦥑,깍지 낄 국
輿,一,한 일
輿,八,여덟 팔
汝,氵,삼수변 수
汝,女,여자 녀(여)
余,𠆢,사람 인
余,于,어조사 우
余,八,여덟 팔
予,丁,고무래 정
予,龴,-
逆,辶,쉬엄쉬엄 갈 착
逆,屰,거스를 역
域,土,흙 토
域,或,혹 혹
易,日,날 일
易,勿,말 물
疫,疒,병들어 기댈 녁(역)
疫,殳,몽둥이 수
亦,亠,돼지해머리 두
亦,八,여덟 팔
亦,八,여덟 팔
役,彳,조금 걸을 척
役,殳,몽둥이 수
譯,言,말씀 언
譯,睪,엿볼 역
驛,馬,말 마
驛,睪,엿볼 역
然,灬,연화발 화
然,夕,저녁 석
然,犬,개 견
然,丶,점 주
煙,火,불 화
煙,垔,막을 인
硏,石,돌 석
硏,幵,평평할 견
演,氵,삼수변 수
演,寅,범 인
燃,火,불 화
燃,然,그럴 연
鉛,金,쇠 금
鉛,㕣,산속 늪 연
緣,糹,가는 실 멱
緣,彖,판단할 단
延,廴,길게 걸을 인
延,丿,삐침 별
延,卜,점 복
延,乚,숨을 은
沿,氵,삼수변 수
沿,㕣,산속 늪 연
軟,車,수레 차
軟,欠,하품 흠
宴,宀,집 면
宴,妟,편안할 안
燕,灬,연화발 화
燕,北,북녘 북
燕,口,입 구
燕,廿,스물 입
熱,灬,연화발 화
熱,埶,재주 예
悅,忄,심방변 심
悅,兌,바꿀 태
閱,門,문 문
閱,兌,바꿀 태
染,木,나무 목
染,氿,샘 궤
鹽,鹵,소금 로(노)
鹽,𠂉,-
鹽,臣,신하 신
鹽,皿,그릇 명
炎,火,불 화
炎,火,불 화
葉,艹,초두머리 초
葉,枼,나뭇잎 엽
英,艹,초두머리 초
英,央,가운데 앙
永,水,물 수
永,丶,점 주
榮,木,나무 목
榮,𤇾,등불 형
迎,辶,쉬엄쉬엄 갈 착
迎,卬,나 앙
映,日,날 일
映,央,가운데 앙
營,𤇾,등불 형
營,呂,성씨 려(여)
影,彡,터럭 삼
影,景,볕 경
詠,言,말씀 언
詠,永,길 영
泳,氵,삼수변 수
泳,永,길 영
藝,艹,초두머리 초
藝,㙯,재주 예
豫,予,나 여
豫,象,코끼리 상
譽,言,말씀 언
譽,與,더불 여
銳,金,쇠 금
銳,兌,바꿀 태
五,一,한 일
五,𫝀,-
午,𠂉,-
午,十,열 십
誤,言,말씀 언
誤,吳,성씨 오
烏,戶,집 호
烏,一,한 일
烏,𠃌,-
烏,灬,연화발 화
悟,忄,심방변 심
悟,吾,나 오
嗚,口,입 구
嗚,烏,까마귀 오
娛,女,여자 녀(여)
娛,吳,성씨 오
吾,口,입 구
吾,五,다섯 오
傲,亻,사람인변 인
傲,敖,거만할 오
汚,氵,삼수변 수
汚,亐,땅 이름 울
屋,尸,주검 시
屋,至,이를 지
玉,丶,점 주
玉,王,임금 왕
獄,狺,으르렁거릴 은
獄,犬,개 견
溫,氵,삼수변 수
溫,𥁕,온화할 온
擁,扌,재방변 수
擁,雍,화할 옹
翁,羽,깃 우
翁,公,공평할 공
瓦,瓦,기와 와
臥,臣,신하 신
臥,人,사람 인
完,宀,집 면
完,元,으뜸 원
緩,糹,가는 실 멱
緩,爰,이에 원
曰,曰,가로 왈
王,王,임금 왕
往,彳,조금 걸을 척
往,主,임금 주
外,夕,저녁 석
外,卜,점 복
畏,田,밭 전
畏,𧘇,옷의변 의
要,覀,덮을 아
要,女,여자 녀(여)
曜,日,날 일
曜,翟,꿩 적
謠,言,말씀 언
謠,䍃,질그릇 요
遙,辶,쉬엄쉬엄 갈 착
遙,䍃,질그릇 요
腰,⺼,육달월 월
腰,要,요긴할 요
搖,扌,재방변 수
搖,䍃,질그릇 요
浴,氵,삼수변 수
浴,谷,골 곡
慾,心,마음 심
慾,欲,하고자 할 욕
欲,欠,하품 흠
欲,谷,골 곡
辱,辰,별 진
辱,寸,마디 촌
勇,甬,길 용
勇,力,힘 력(역)
用,冂,멀 경
用,𠀆,-
容,宀,집 면
容,谷,골 곡
庸,广,집 엄
庸,肀,붓 사
庸,冃,쓰개 모
右,口,입 구
右,𠂇,왼 좌
友,又,또 우
友,𠂇,왼 좌
雨,帀,두를 잡
雨,⺀,얼음 빙
雨,⺀,얼음 빙
牛,牛,소 우
優,亻,사람인변 인
優,憂,근심 우
遇,辶,쉬엄쉬엄 갈 착
遇,禺,어리석을 옹
郵,垂,드리울 수
郵,⻏,우부방 읍
憂,百,일백 백
憂,冖,덮을 멱
憂,𢖻,사랑 애
偶,亻,사람인변 인
偶,禺,어리석을 옹
宇,宀,집 면
宇,于,어조사 우
愚,心,마음 심
愚,禺,어리석을 옹
羽,羽,깃 우
于,二,두 이
于,亅,갈고리 궐
尤,尢,절름발이 왕
尤,丶,점 주
又,又,또 우
運,辶,쉬엄쉬엄 갈 착
運,軍,군사 군
雲,雨,비 우
雲,云,이를 운
韻,音,소리 음
韻,員,인원 원
云,二,두 이
云,厶,사사 사
雄,隹,새 추
雄,厷,팔뚝 굉
園,囗,나라 국
園,袁,성씨 원
遠,辶,쉬엄쉬엄 갈 착
遠,袁,성씨 원
元,一,한 일
元,兀,우뚝할 올
原,厂,기슭 엄
原,𤽄,-
院,阝,좌부변 부
院,完,완전할 완
願,頁,머리 혈
願,原,언덕 원
圓,囗,나라 국
圓,員,인원 원
員,口,입 구
員,貝,조개 패
怨,心,마음 심
怨,夗,누워 뒹굴 원
援,扌,재방변 수
援,爰,이에 원
源,氵,삼수변 수
源,原,언덕 원
月,月,달 월
越,走,달릴 주
越,戉,도끼 월
偉,亻,사람인변 인
偉,韋,가죽 위
位,亻,사람인변 인
位,立,설 립(입)
衛,行,다닐 행
衛,韋,가죽 위
爲,爫,손톱조 조
爲,𠃌,-
爲,灬,연화발 화
圍,囗,나라 국
圍,韋,가죽 위
委,女,여자 녀(여)
委,禾,벼 화
威,女,여자 녀(여)
威,戌,개 술
慰,心,마음 심
慰,尉,벼슬 위
危,㔾,병부 절
危,厃,우러러볼 첨
胃,⺼,육달월 월
胃,田,밭 전
僞,亻,사람인변 인
僞,爲,할 위
謂,言,말씀 언
謂,胃,위장 위
違,辶,쉬엄쉬엄 갈 착
違,韋,가죽 위
緯,糹,가는 실 멱
緯,韋,가죽 위
有,𠂇,왼 좌
有,月,달 월
由,田,밭 전
油,氵,삼수변 수
油,由,말미암을 유
遊,辶,쉬엄쉬엄 갈 착
遊,斿,놀 유
乳,乚,숨을 은
乳,孚,미쁠 부
儒,亻,사람인변 인
儒,需,쓰일 수
遺,辶,쉬엄쉬엄 갈 착
遺,貴,귀할 귀
猶,犭,개사슴록변 견
猶,酋,우두머리 추
幽,𢆶,작을 유
幽,山,메 산
幼,幺,작을 요
幼,力,힘 력(역)
柔,木,나무 목
柔,矛,창 모
維,糹,가는 실 멱
維,隹,새 추
裕,衤,옷의변 의
裕,谷,골 곡
誘,言,말씀 언
誘,秀,빼어날 수
悠,心,마음 심
悠,攸,바 유
唯,口,입 구
唯,隹,새 추
酉,西,서녘 서
酉,一,한 일
愈,兪,대답할 유
愈,心,마음 심
惟,忄,심방변 심
惟,隹,새 추
育,亠,돼지해머리 두
育,䏍,작은 벌레 원
肉,冂,멀 경
肉,仌,얼음 빙
潤,氵,삼수변 수
潤,閏,윤달 윤
閏,門,문 문
閏,王,임금 왕
銀,金,쇠 금
銀,艮,괘 이름 간
恩,心,마음 심
恩,因,인할 인
隱,阝,좌부변 부
隱,㥯,삼갈 은
乙,乙,새 을
音,立,설 립(입)
音,日,날 일
飮,𩙿,밥식 식
飮,欠,하품 흠
陰,阝,좌부변 부
陰,侌,그늘 음
淫,氵,삼수변 수
淫,㸒,가까이할 음
吟,口,입 구
吟,今,이제 금
邑,口,입 구
邑,巴,꼬리 파
泣,氵,삼수변 수
泣,立,설 립(입)
應,心,마음 심
應,䧹,매 응
凝,冫,얼음 빙
凝,疑,의심할 의
意,音,소리 음
意,心,마음 심
醫,酉,닭 유
醫,殹,앓는 소리 예
衣,亠,돼지해머리 두
衣,𧘇,옷의변 의
議,言,말씀 언
議,義,옳을 의
義,𦍌,양 양
義,我,나 아
依,亻,사람인변 인
依,衣,옷 의
儀,亻,사람인변 인
儀,義,옳을 의
疑,𠤕,정하지 못할 의
疑,龴,-
疑,疋,짝 필
矣,矢,화살 시
矣,厶,사사 사
宜,宀,집 면
宜,且,또 차
二,二,두 이
以,丨,뚫을 곤
以,一,한 일
以,人,사람 인
以,丶,점 주
耳,耳,귀 이
移,禾,벼 화
移,多,많을 다
異,田,밭 전
異,共,한가지 공
已,己,몸 기
而,一,한 일
而,𦓐,-
夷,大,클 대
夷,弓,활 궁
益,皿,그릇 명
益,八,여덟 팔
益,一,한 일
益,八,여덟 팔
翼,羽,깃 우
翼,異,다를 이(리)
人,人,사람 인
因,囗,나라 국
因,大,클 대
印,丿,삐침 별
印,丨,뚫을 곤
印,二,두 이
印,卩,병부 절
引,弓,활 궁
引,丨,뚫을 곤
認,言,말씀 언
認,忍,참을 인
仁,亻,사람인변 인
仁,二,두 이
忍,心,마음 심
忍,刃,칼날 인
寅,㝉,오랫동안 서 있을 저
寅,由,말미암을 유
寅,八,여덟 팔
姻,女,여자 녀(여)
姻,因,인할 인
一,一,한 일
日,日,날 일
逸,辶,쉬엄쉬엄 갈 착
逸,兔,토끼 토
任,亻,사람인변 인
任,壬,북방 임
壬,士,선비 사
壬,丿,삐침 별
賃,貝,조개 패
賃,任,맡길 임
入,入,들 입
子,子,아들 자
自,丿,삐침 별
自,目,눈 목
字,子,아들 자
字,宀,집 면
者,耂,늙을로엄 로(노)
者,丶,점 주
者,日,날 일
資,貝,조개 패
資,次,버금 차
姿,女,여자 녀(여)
姿,次,버금 차
姉,女,여자 녀(여)
姉,市,저자 시
紫,糸,가는 실 멱
紫,此,이 차
慈,心,마음 심
慈,兹,무성할 자
刺,刂,선칼도방 도
刺,朿,가시 자
恣,心,마음 심
恣,次,버금 차
玆,玄,검을 현
玆,玄,검을 현
作,亻,사람인변 인
作,乍,잠깐 사
昨,日,날 일
昨,乍,잠깐 사
酌,酉,닭 유
酌,勺,구기 작
爵,𡬳,닦을 선
爵,𠁣,-
爵,二,두 이
殘,歹,살 바른 뼈 알
殘,戔,나머지 잔
暫,日,날 일
暫,斬,벨 참
潛,氵,삼수변 수
潛,朁,일찍이 참
雜,隹,새 추
雜,亠,돼지해머리 두
雜,从,좇을 종
雜,木,나무 목
長,丨,뚫을 곤
長,三,석 삼
長,𧘇,옷의변 의
場,土,흙 토
場,昜,볕 양
章,立,설 립(입)
章,早,이를 조
將,爿,나뭇조각 장
將,𪧷,-
將,丶,점 주
障,阝,좌부변 부
障,章,글 장
獎,犬,개 견
獎,將,장수 장
裝,衣,옷 의
裝,壯,장할 장
腸,⺼,육달월 월
腸,昜,볕 양
張,弓,활 궁
張,長,길 장
壯,士,선비 사
壯,爿,나뭇조각 장
帳,巾,수건 건
帳,長,길 장
莊,艹,초두머리 초
莊,壯,장할 장
葬,艹,초두머리 초
葬,𢍈,장사지낼 장
臟,⺼,육달월 월
臟,藏,감출 장
粧,米,쌀 미
粧,庄,엄할 장
掌,龸,-
掌,𠰅,집을 지
丈,丈,어른 장
藏,艹,초두머리 초
藏,臧,착할 장
墻,土,흙 토
墻,嗇,아낄 색
才,才,재주 재
在,𠂇,왼 좌
在,丨,뚫을 곤
在,土,흙 토
財,貝,조개 패
財,才,재주 재
材,木,나무 목
材,才,재주 재
災,火,불 화
災,巛,내 천
再,一,한 일
再,冉,나아갈 염
栽,木,나무 목
栽,𢦏,다칠 재
裁,衣,옷 의
裁,𢦏,다칠 재
載,車,수레 차
載,𢦏,다칠 재
哉,口,입 구
哉,𢦏,다칠 재
宰,宀,집 면
宰,辛,매울 신
爭,爫,손톱조 조
爭,尹,성씨 윤
貯,貝,조개 패
貯,宁,뜰 저
低,亻,사람인변 인
低,氐,근본 저
底,广,집 엄
底,氐,근본 저
著,艹,초두머리 초
著,者,놈 자
抵,扌,재방변 수
抵,氐,근본 저
的,白,흰 백
的,勺,구기 작
赤,土,흙 토
赤,八,여덟 팔
赤,八,여덟 팔
敵,攵,칠 복
敵,啇,밑동 적
積,禾,벼 화
積,責,꾸짖을 책
籍,𥫗,대죽 죽
籍,耤,짓밟을 적
適,辶,쉬엄쉬엄 갈 착
適,啇,밑동 적
績,糹,가는 실 멱
績,責,꾸짖을 책
賊,貝,조개 패
賊,戎,병장기 융
跡,𧾷,발족 족
跡,亦,또 역
寂,宀,집 면
寂,叔,아저씨 숙
笛,𥫗,대죽 죽
笛,由,말미암을 유
摘,扌,재방변 수
摘,啇,밑동 적
蹟,𧾷,발족 족
蹟,責,꾸짖을 책
滴,氵,삼수변 수
滴,啇,밑동 적
電,雨,비 우
電,电,번개 전
前,䒑,초두머리 초
前,刖,벨 월
全,𠆢,사람 인
全,王,임금 왕
戰,戈,창 과
戰,單,홑 단
傳,亻,사람인변 인
傳,專,오로지 전
典,八,여덟 팔
典,曲,굽을 곡
展,尸,주검 시
展,卄,스물 입
展,𧘇,옷의변 의
田,囗,나라 국
田,十,열 십
專,叀,삼갈 전
專,寸,마디 촌
轉,車,수레 차
轉,專,오로지 전
錢,金,쇠 금
錢,戔,나머지 잔
殿,殳,몽둥이 수
殿,𡱒,볼기 둔
節,𥫗,대죽 죽
節,卽,곧 즉
切,刀,칼 도
切,七,일곱 칠
絶,糹,가는 실 멱
絶,色,빛 색
折,扌,재방변 수
折,斤,근 근
竊,穴,구멍 혈
竊,釆,분별할 변
竊,冂,멀 경
竊,厶,사사 사
店,广,집 엄
店,占,점령할 점
點,黑,검을 흑
點,占,점령할 점
占,卜,점 복
占,口,입 구
漸,氵,삼수변 수
漸,斬,벨 참
接,扌,재방변 수
接,妾,첩 첩
蝶,虫,벌레 훼
蝶,枼,나뭇잎 엽
正,止,그칠 지
正,一,한 일
庭,广,집 엄
庭,廷,조정 정
定,宀,집 면
定,疋,짝 필
情,忄,심방변 심
情,靑,푸를 청
停,亻,사람인변 인
停,亭,정자 정
政,攵,칠 복
政,正,바를 정
程,禾,벼 화
程,呈,드릴 정
精,米,쌀 미
精,青,푸를 청
靜,靑,푸를 청
靜,爭,다툴 쟁
丁,丁,고무래 정
整,敕,칙서 칙
整,正,바를 정
淨,氵,삼수변 수
淨,爭,다툴 쟁
頂,頁,머리 혈
頂,丁,고무래 정
井,井,우물 정
亭,亠,돼지해머리 두
亭,口,입 구
亭,冖,덮을 멱
亭,丁,고무래 정
廷,廴,길게 걸을 인
廷,壬,북방 임
貞,貝,조개 패
貞,卜,점 복
征,彳,조금 걸을 척
征,正,바를 정
訂,言,말씀 언
訂,丁,고무래 정
弟,八,여덟 팔
弟,𢎨,조상할 조
第,𥫗,대죽 죽
第,𢎨,조상할 조
題,頁,머리 혈
題,是,이 시
濟,氵,삼수변 수
濟,齊,가지런할 제
提,扌,재방변 수
提,是,이 시
制,刂,선칼도방 도
制,丿,삐침 별
制,巾,수건 건
制,二,두 이
製,衣,옷 의
製,制,절제할 제
除,阝,좌부변 부
除,余,나 여
際,阝,좌부변 부
際,祭,제사 제
祭,夕,저녁 석
祭,示,보일 시
帝,丶,점 주
帝,𢂇,임금 제
諸,言,말씀 언
諸,者,놈 자
齊,亠,돼지해머리 두
齊,刀,칼 도
齊,丫,가닥 아
齊,二,두 이
堤,土,흙 토
堤,是,이 시
祖,礻,보일시변 시
祖,且,또 차
朝,龺,-
朝,月,달 월
調,言,말씀 언
調,周,두루 주
操,扌,재방변 수
操,喿,울 조
鳥,烏,까마귀 오
鳥,一,한 일
助,力,힘 력(역)
助,且,또 차
早,日,날 일
早,十,열 십
造,辶,쉬엄쉬엄 갈 착
造,告,고할 고
條,攸,바 유
條,木,나무 목
潮,氵,삼수변 수
潮,朝,아침 조
組,糹,가는 실 멱
組,且,또 차
租,禾,벼 화
租,且,또 차
照,灬,연화발 화
照,昭,밝을 소
兆,儿,어진 사람 인
兆,冫,얼음 빙
兆,冫,얼음 빙
燥,火,불 화
燥,喿,울 조
弔,弓,활 궁
弔,丨,뚫을 곤
足,口,입 구
足,龰,-
族,方,모 방
